name;description;start;finish;category;adress;coordinates;contacts
Областная выставка-конкурс произведений народных художников и мастеров декоративно-прикладного искусства «Ремёсла Томского края»;   ;01.12.2017;30.01.2018;1;г.Томск, ул.Нахановича, 3;56.482483,84.946735; +7 (3822) 64-44-79, https://toipkro.ru/index.php?act=departments&page=927
Х Макарьевские образовательные чтения;Организатор: Дергунова К.В.;01.09.2017;18.11.2017;2;г. Томск, ул. Пирогова 10;56.461938,84.956836;+7 (3822) 41-65-06
Региональный конкурс творческих исследовательских работ «Трезвение – основа духовного здоровья». Приём заявок;Организатор: Дергунова К.В.;28.09.2017;04.11.2017;1;г.Томск, ул. Пушкина, 63, стр. 28;56.49911,84.993045;+7 (3822) 41-65-06, http://tept.edu.ru/anonses/3263-trezvenie-kak-duhovnaya-dobrodetel.html
Интеллектуальная викторина «Стратагема» в рамках ВСИ «Взвод» в рамках флагманской программы «Патриотический Центр»;Организатор: Ефремов А.О.;29.10.2017;29.10.2017;1;г. Томск, ул. Учебная 37;56.457762,84.956334;+7 (3822) 46-84-41
Конкурс молодежных бизнес-проектов «Сделай дело» в рамках флагманской программы «Ты предприниматель»;Организатор: Харебин И.А.;30.10.2017;22.12.2017;1;г. Томск, ул. Учебная 37;56.457762,84.956334;+7 (3822) 46-84-41
Финал проекта «Исторический марафон» в рамках флагманской программы «Патриотический Центр»;Организатор: Ефремов А.О;31.10.2017;31.10.2017;1;г. Томск, ул. Учебная 37;56.457762,84.956334;+7 (3822) 46-84-41
Международная научно-практическая конференция «Молекулы и системы для диагностики и адресной терапии»;Актовый зал СибГМУ;01.11.2017;03.11.2017;0;г. Томск, Московский тракт 2;56.4718231,84.9429648;СибГМУ, Центральная научно-исследовательская лаборатория, Першина Александра Геннадьевна, Тел.: 8-913-816-67-88
Семинар «Грантовая поддержка научно-исследовательских проектов: возможности, источники, рекомендации»;СибГМУ;10.11.2017;10.11.2017;0;г. Томск, Московский тракт, 2;56.4718231,84.9429648;СибГМУ, Центр трансфера технологий, Руководитель Гальцова Ирина Александровна, Тел.: 8(3822) 901-101, доб. 1624, E-mail: okr@ssmu.ru
Семинар «Бесплатные инструменты для авторов научных публикаций»;СибГМУ;14.11.2017;14.11.2017;0;г. Томск, пр. Ленина, 107;56.4834537,84.9491658;СибГМУ Научно-медицинская библиотека, Центр сопровождения публикаций, Руководитель, Картавая Оксана Викторовна, Тел:.8-923-429-73-44, E-mail: publication@ssmu.ru
Научно-практическая конференция «Актуальные вопросы диагностики и лечения внутренних болезней»;СибГМУ;16.11.2017;16.11.2017;0;г. Томск, Московский тракт, 2;56.4718231,84.9429648;СибГМУ Кафедра факультетской терапии с курсом клинической фармакологии, Долгалев Игорь Владимирович, 634041, Томск, пр. Кирова 22-46, Тел. 8-903-915-73-90, E-mail: div65@mail.ru
